min_orbit_intersection_dist,epoch,eccentricity,semi_major_axis,perihelion_dist,inclination,mean_anomaly,time_of_perihelion_passage,abs_magnitude,pha
0.3113941967445152,0.0,-0.6078153089223199,-0.22298065984072798,0.35361216730038025,1.017522412387938,0.0746075154461664,0.6030702898161348,0.0024271844660197963,0
0.014154281670205186,0.0,-0.7463336171823255,-0.5221843003412969,-0.19011406844106446,1.3492257538712307,0.31315709510787004,0.379505902396894,-0.2257281553398057,0
0.6015569709837225,0.0,-0.39928091588608183,-0.5278725824800908,-0.6273764258555132,0.2400162999185003,0.28050238022890717,0.3934421669355797,-0.2961165048543686,0
2.297711724463317,0.0,-0.3065569117229634,0.372013651877133,1.1596958174904946,-0.05256723716381429,-0.2874708801782639,-0.22747266120775383,-0.7014563106796117,0
-0.07313045529606042,0.0,-0.11202573564197184,0.03185437997724689,0.11026615969581763,0.19111654441727782,-0.19846044768560717,-0.21247935464783507,-0.20873786407766973,0
1.5027129039867893,0.0,0.15289999053836686,0.7394766780432307,0.8631178707224342,-0.6075794621026895,-0.5298693406259495,-0.026008797093366554,-0.7839805825242717,0
-0.3599905638122199,0.0,-0.39436086668558995,-0.8836177474402729,-1.4144486692015215,0.08679706601466988,-0.19999999999999993,0.019193657747595662,0.6504854368932037,0
-0.2665723047888653,0.0,0.8844734601192165,-0.2810011376564278,-1.9315589353612175,-0.4030154849225755,0.6988149498632635,0.2087240737838653,-0.8470873786407761,1
0.22646850672328375,-1.355072463768116,0.1127826662882013,-0.04778156996587034,-0.414448669201521,0.01589242053789719,0.6344373544008914,-0.5144595698809049,-0.09708737864077634,0
0.07784854918612874,-4.557971014492754,0.44810294256788696,0.6587030716723545,0.05703422053231946,-0.32477587612061953,0.7216246328370304,-2.39757993010767,-0.17475728155339773,0
0.00943618778013679,0.0,0.3625697795439492,0.662116040955631,0.2547528517110265,-0.2082314588427059,-0.6602856274688544,0.13645577982895105,-0.19902912621359226,0
0.5756074545883463,0.0,-0.2051282051282052,0.17974971558589292,0.5665399239543729,-0.17155664221678904,-0.27090043553124676,-0.19359168274867858,0.08737864077669887,0
1.238499646142958,0.0,-0.08553316302393796,0.39249146757679143,0.7566539923954378,-0.5920945395273025,-0.5441304568013774,0.024214607346671965,-0.12621359223300957,0
0.2335456475583864,-7.2898550724637685,-0.6074368435992052,-0.3139931740614334,0.1368821292775667,-0.07457212713936438,0.6468753165198016,-3.9601801143932924,0.28640776699029113,0
-0.2613824015097901,0.0,-0.5003311571577252,-0.9765642775881682,-1.5285171102661599,2.742868785656072,-0.549478375367163,0.12843060553869892,-0.7524271844660188,1
-0.3745694739325313,0.0,-1.0063392941621723,-0.8714448236632535,-0.8250950570342207,-0.32477587612061953,-0.4218981059455079,0.08381230549865476,1.0412621359223297,0
0.6227883934890304,0.0,0.2433532027627969,0.2366325369738338,-0.16730038022813667,0.4209453952730236,-0.06824673351564862,-0.39078565343613586,-1.5339805825242716,0
-0.22269403161122908,0.0,-0.763743022045605,-0.5244596131968146,-0.17490494296577927,-0.44376528117359426,-0.46873290793072014,0.06292181713828263,0.1334951456310681,0
1.2691672564284031,0.0,0.049578957328034814,-0.5096700796359498,-1.1444866920152093,0.6760391198044009,-0.266930011141497,-0.03435386567939035,-0.6650485436893199,0
