spkid,full_name,pdes,orbit_id,pha,min_orbit_intersection_dist,epoch,eccentricity,semi_major_axis,perihelion_dist,inclination,mean_anomaly,time_of_perihelion_passage,abs_magnitude
3797758,2018_BQ1,2018 BQ1,JPL 10,0,11.5,2461000.5,0.4431,1.646,0.917,7.07,273.42,2461186.0,22.6
3797755,2018_BR1,2018 BR1,JPL 2,0,0.196,2461000.5,0.4106,1.578,0.93,6.97,356.92,2461006.69,29.5
3797748,2018_BS1,2018 BS1,JPL 16,0,35.2,2461000.5,0.5824,2.542,1.061,3.37,331.83,2461116.3,23.4
3797751,2018_BT1,2018 BT1,JPL 14,0,15.0,2461000.5,0.3095,0.8651,0.597,29.91,151.9,2460876.48,23.06
3797752,2018_BU1,2018 BU1,JPL 12,0,2.92,2461000.5,0.4623,1.594,0.857,6.37,299.52,2461123.99,24.6
3797753,2018_BV1,2018 BV1,JPL 11,0,24.6,2461000.5,0.0915,1.1,0.999,21.38,231.45,2461150.88,24.3
3797757,2018_BW1,2018 BW1,JPL 5,0,8.3,2461000.5,0.2893,1.403,0.997,8.99,265.89,2461159.1,27.1
3797756,2018_BX1,2018 BX1,JPL 6,0,18.1,2458137.5,0.3795,1.32,0.819,33.2,37.65,2458079.58,23.73
3797847,2018_BX2,2018 BX2,JPL 7,0,41.2,2461000.5,0.2866,1.52,1.085,16.43,59.81,2460886.72,23.3
3797849,2018_BY2,2018 BY2,JPL 79,1,15.7,2461000.5,0.3815,1.641,1.015,9.0,234.66,2461267.8,20.47
3797851,2018_BZ2,2018 BZ2,JPL 20,1,18.4,2461000.5,0.5987,2.173,0.872,11.82,178.96,2460419.07,20.39
3797848,2018_BA3,2018 BA3,JPL 9,0,1.63,2461000.5,0.5201,2.05,0.984,6.07,228.02,2461393.53,26.4
3797852,2018_BB3,2018 BB3,JPL 4,0,3.46,2458137.5,0.6088,1.863,0.729,27.49,18.15,2458090.67,25.7
3797850,2018_BC3,2018 BC3,JPL 11,0,16.8,2461000.5,0.5731,2.401,1.025,1.81,37.14,2460860.32,25.48
3797854,2018_BD3,2018 BD3,JPL 9,0,15.3,2458140.5,0.5641,1.728,0.753,18.16,22.03,2458089.71,22.46
3797853,2018_BE3,2018 BE3,JPL 8,0,41.5,2461000.5,0.4484,1.975,1.09,1.38,293.06,2461189.06,24.9
3797857,2018_BF3,2018 BF3,JPL 5,0,0.0729,2461000.5,0.476,1.552,0.813,11.7,42.21,2460917.74,26.0
3797856,2018_BG3,2018 BG3,JPL 9,0,11.8,2458141.5,0.3904,1.259,0.768,15.68,312.19,2458210.06,23.9
3797858,2018_BH3,2018 BH3,JPL 10,0,0.207,2461000.5,0.3384,0.8666,0.573,1.99,354.15,2461005.28,25.4
3797855,2018_BJ3,2018 BJ3,JPL 13,0,16.2,2461000.5,0.3264,1.144,0.771,4.79,81.53,2460899.27,23.17
3797864,2018_BK3,2018 BK3,JPL 12,0,103.0,2461000.5,0.4872,2.422,1.242,24.27,34.56,2460868.36,20.5
3797860,2018_BL3,2018 BL3,JPL 23,0,52.0,2461000.5,0.459,1.948,1.054,13.3,299.39,2461167.68,20.2
3797861,2018_BM3,2018 BM3,JPL 12,1,1.71,2461000.5,0.5106,1.117,0.547,19.62,308.0,2461062.78,21.99
3797862,2018_BO3,2018 BO3,JPL 21,0,96.8,2461000.5,0.5344,2.631,1.225,13.4,295.42,2461280.19,21.2
3797865,2018_BP3,2018 BP3,JPL 6,0,1.21,2461000.5,0.2581,1.15,0.854,1.42,170.62,2460786.89,28.79
3797894,2018_BY4,2018 BY4,JPL 10,0,93.2,2461000.5,0.513,1.372,0.668,21.94,52.69,2460914.64,21.0
3797897,2018_BZ4,2018 BZ4,JPL 5,0,80.7,2461000.5,0.2189,1.427,1.115,15.7,130.71,2460774.36,21.78
3797895,2018_BA5,2018 BA5,JPL 2,0,17.4,2461000.5,0.4309,1.367,0.778,4.54,13.55,2460978.52,24.2
3797899,2018_BB5,2018 BB5,JPL 3,0,6.8,2461000.5,0.5931,0.9563,0.389,7.96,54.01,2460949.25,24.4
3797898,2018_BC5,2018 BC5,JPL 3,0,29.4,2461000.5,0.5391,2.269,1.046,4.8,97.11,2460663.73,23.8
3797903,2018_BD5,2018 BD5,JPL 4,0,4.39,2461000.5,0.4387,1.644,0.923,1.77,272.16,2461188.39,26.0
3797910,2018_BE5,2018 BE5,JPL 5,0,2.53,2461000.5,0.4599,1.348,0.728,6.11,37.01,2460941.76,24.5
3797902,2018_BF5,2018 BF5,JPL 4,0,8.31,2461000.5,0.0849,0.9751,0.892,18.94,156.28,2460847.83,24.2
3797901,2018_BG5,2018 BG5,JPL 8,0,10.5,2461000.5,0.2828,1.114,0.799,1.91,294.31,2461078.84,24.08
3797912,2018_BH5,2018 BH5,JPL 4,0,8.3,2461000.5,0.3314,1.04,0.695,4.09,62.66,2460933.07,25.2
3797900,2018_BJ5,2018 BJ5,JPL 16,0,29.1,2461000.5,0.0236,1.097,1.071,22.51,191.93,2461196.44,21.71
3797908,2018_BK5,2018 BK5,JPL 8,0,37.1,2461000.5,0.0958,1.178,1.065,30.25,13.1,2460983.52,23.1
3797906,2018_BL5,2018 BL5,JPL 15,0,39.2,2461000.5,0.3825,1.758,1.085,3.94,125.87,2460702.85,24.3
3797905,2018_BM5,2018 BM5,JPL 6,0,1.06,2461000.5,0.3923,0.7649,0.465,3.15,123.79,2460916.47,27.42
3797907,2018_BN5,2018 BN5,JPL 4,0,15.5,2458143.5,0.5116,2.002,0.978,8.14,349.11,2458174.8,25.91
3797909,2018_BO5,2018 BO5,JPL 3,0,5.07,2461000.5,0.4025,1.121,0.67,6.12,273.72,2461104.38,26.3
3797904,2018_BP5,2018 BP5,JPL 19,0,36.3,2461000.5,0.3256,1.5,1.012,6.73,106.83,2460801.3,22.5
