spkid,full_name,pdes,orbit_id,pha,min_orbit_intersection_dist,epoch,eccentricity,semi_major_axis,perihelion_dist,inclination,mean_anomaly,time_of_perihelion_passage,abs_magnitude
20000433,433_Eros_A898_PA,433,JPL 659,0,57.7,2461000.5,0.2228,1.458,1.133,10.83,310.55,2461088.83,10.38
20000719,719_Albert_A911_TB,719,JPL 275,0,78.3,2461000.5,0.5466,2.637,1.195,11.57,240.61,2461519.09,15.59
20000887,887_Alinda_A918_AA,887,JPL 730,0,31.0,2461000.5,0.5712,2.474,1.061,9.4,81.54,2460678.64,13.81
20001036,1036_Ganymed_A924_UB,1036,JPL 1467,0,134.0,2461000.5,0.5332,2.665,1.244,26.68,97.59,2460569.72,9.18
20001221,1221_Amor_1932_EA1,1221,JPL 143,0,42.0,2461000.5,0.4346,1.92,1.085,11.87,59.87,2460838.91,17.37
20001566,1566_Icarus_1949_MA,1566,JPL 194,1,13.0,2461000.5,0.827,1.078,0.186,22.8,153.08,2460826.65,16.53
20001580,1580_Betulia_1950_KA,1580,JPL 402,0,51.6,2461000.5,0.4876,2.195,1.125,52.19,80.27,2460735.66,14.55
20001620,1620_Geographos_1951_RA,1620,JPL 848,1,11.4,2461000.5,0.3355,1.246,0.828,13.34,212.92,2461208.0,15.26
20001627,1627_Ivar_1929_SH,1627,JPL 1501,0,42.5,2461000.5,0.3973,1.863,1.123,8.46,311.46,2461125.74,12.79
20001685,1685_Toro_1948_OA,1685,JPL 838,0,19.9,2461000.5,0.436,1.368,0.771,9.38,82.68,2460866.3,14.28
20001862,1862_Apollo_1932_HA,1862,JPL 567,1,10.1,2461000.5,0.5599,1.471,0.647,6.35,113.88,2460794.37,16.08
20001863,1863_Antinous_1948_EA,1863,JPL 272,0,72.9,2461000.5,0.6063,2.26,0.89,18.38,289.56,2461243.32,15.46
20001864,1864_Daedalus_1971_FA,1864,JPL 843,0,105.0,2461000.5,0.6144,1.461,0.563,22.22,257.57,2461183.99,14.84
20001865,1865_Cerberus_1971_UA,1865,JPL 391,0,60.9,2461000.5,0.4669,1.08,0.576,16.1,319.67,2461046.42,16.78
20001866,1866_Sisyphus_1972_XA,1866,JPL 1161,0,40.3,2461000.5,0.5381,1.893,0.875,41.21,140.66,2460628.68,12.48
20001915,1915_Quetzalcoatl_1953_EA,1915,JPL 13,0,42.4,2461000.5,0.5702,2.545,1.094,20.4,21.62,2460911.46,18.38
20001916,1916_Boreas_1953_RA,1916,JPL 528,0,98.2,2461000.5,0.4492,2.273,1.252,12.88,35.11,2460878.45,14.93
20001917,1917_Cuyo_1968_AA,1917,JPL 645,0,27.9,2461000.5,0.5055,2.149,1.063,23.96,160.09,2460488.78,14.38
20001943,1943_Anteros_1973_EC,1943,JPL 848,0,23.7,2461000.5,0.2559,1.431,1.064,8.71,260.37,2461173.45,15.7
20001980,1980_Tezcatlipoca_1950_LA,1980,JPL 929,0,95.4,2461000.5,0.3647,1.709,1.086,26.87,211.5,2461337.24,13.81
20001981,1981_Midas_1973_EA,1981,JPL 401,1,1.08,2461000.5,0.6505,1.776,0.621,39.82,65.35,2460843.54,15.27
20002059,2059_Baboquivari_1963_UA,2059,JPL 280,0,95.4,2461000.5,0.5316,2.642,1.237,11.02,143.16,2460376.79,15.98
20002061,2061_Anza_1960_UA,2061,JPL 226,0,21.7,2461000.5,0.5356,2.265,1.052,3.8,38.89,2460865.98,16.7
20002062,2062_Aten_1976_AA,2062,JPL 149,0,44.0,2461000.5,0.1829,0.967,0.79,18.94,32.64,2460969.01,17.11
20002063,2063_Bacchus_1977_HB,2063,JPL 258,0,26.0,2461000.5,0.3494,1.078,0.701,9.43,234.79,2461142.69,17.21
20002100,2100_Ra-Shalom_1978_RA,2100,JPL 493,0,58.3,2461000.5,0.4365,0.832,0.469,15.76,249.11,2461085.89,16.24
20002101,2101_Adonis_1936_CA,2101,JPL 52,1,4.48,2461000.5,0.7641,1.874,0.442,1.32,24.48,2460936.78,18.69
20002102,2102_Tantalus_1975_YA,2102,JPL 274,1,16.6,2461000.5,0.2994,1.29,0.904,64.01,347.36,2461019.3,16.0
20002135,2135_Aristaeus_1977_HA,2135,JPL 24,1,3.32,2461000.5,0.5031,1.6,0.795,23.07,37.18,2460924.18,18.05
20002201,2201_Oljato_1947_XC,2201,JPL 354,1,1.08,2461000.5,0.7107,2.179,0.63,2.52,97.01,2460683.98,15.32
20002202,2202_Pele_1972_RA,2202,JPL 253,0,55.7,2461000.5,0.5129,2.291,1.116,8.74,109.59,2460615.04,16.98
20002212,2212_Hephaistos_1978_SB,2212,JPL 785,0,43.6,2461000.5,0.8347,2.168,0.358,11.2,308.24,2461168.08,13.49
20002329,2329_Orthos_1976_WA,2329,JPL 381,0,36.4,2461000.5,0.6533,2.411,0.836,24.46,71.29,2460729.66,14.58
20002340,2340_Hathor_1976_UA,2340,JPL 62,1,2.58,2461000.5,0.4499,0.8439,0.464,5.86,201.98,2461124.78,20.43
20002368,2368_Beltrovata_1977_RA,2368,JPL 418,0,90.1,2461000.5,0.4134,2.105,1.235,5.22,287.81,2461224.17,15.15
20002608,2608_Seneca_1978_DA,2608,JPL 24,0,59.6,2461000.5,0.5647,2.53,1.102,14.43,10.72,2460956.72,17.48
20003102,3102_Krok_1981_QA,3102,JPL 460,0,71.3,2461000.5,0.4492,2.151,1.185,8.44,6.75,2460978.89,16.16
20003103,3103_Eger_1982_BB,3103,JPL 848,0,30.6,2461000.5,0.3542,1.404,0.907,20.93,181.12,2461302.41,15.3
20003122,3122_Florence_1981_ET3,3122,JPL 1000,1,17.0,2461000.5,0.4232,1.769,1.02,22.14,168.26,2460598.88,14.08
20003199,3199_Nefertiti_1982_RA,3199,JPL 499,0,83.8,2461000.5,0.2841,1.575,1.127,32.96,278.49,2461163.9,14.99
20003200,3200_Phaethon_1983_TB,3200,JPL 999,1,7.28,2461000.5,0.8897,1.271,0.14,22.31,163.98,2460762.0,14.39
20003271,3271_Ul_1982_RB,3271,JPL 92,0,107.0,2461000.5,0.3955,2.102,1.27,25.07,73.99,2460771.75,16.57
20003288,3288_Seleucus_1982_DV,3288,JPL 507,0,40.7,2461000.5,0.4545,2.034,1.11,5.93,16.88,2460950.81,15.34
20003352,3352_McAuliffe_1981_CW,3352,JPL 523,0,78.7,2461000.5,0.3691,1.879,1.185,4.77,140.89,2460632.3,15.93
20003360,3360_Syrinx_1981_VA,3360,JPL 143,0,42.8,2461000.5,0.7474,2.466,0.623,21.07,151.22,2460406.22,16.04
20003361,3361_Orpheus_1982_HR,3361,JPL 236,1,5.7,2461000.5,0.3232,1.21,0.819,2.65,320.55,2461053.79,19.54
20003362,3362_Khufu_1984_QA,3362,JPL 24,1,5.06,2461000.5,0.4685,0.9895,0.526,9.92,40.38,2460960.17,18.52
20003551,3551_Verenia_1983_RD,3551,JPL 145,0,29.2,2461000.5,0.4868,2.093,1.074,9.51,333.3,2461082.53,16.72
20003552,3552_Don_Quixote_1983_SA,3552,JPL 304,0,133.0,2461000.5,0.7073,4.27,1.25,31.05,308.26,2461463.64,13.04
20003553,3553_Mera_1985_JA,3553,JPL 411,0,114.0,2461000.5,0.32,1.645,1.118,36.77,116.62,2460750.94,16.4
20003554,3554_Amun_1986_EB,3554,JPL 265,0,97.2,2461000.5,0.2806,0.974,0.701,23.36,276.71,2461081.73,15.91
20003671,3671_Dionysus_1984_KD,3671,JPL 223,1,5.83,2461000.5,0.5438,2.197,1.002,13.53,252.1,2461357.07,16.49
20003691,3691_Bede_1982_FT,3691,JPL 804,0,136.0,2461000.5,0.2845,1.774,1.27,20.35,151.9,2460636.28,14.93
20003752,3752_Camillo_1985_PA,3752,JPL 566,0,30.3,2461000.5,0.3015,1.414,0.987,55.56,243.34,2461199.44,15.14
20003753,3753_Cruithne_1986_TO,3753,JPL 304,0,27.4,2461000.5,0.5149,0.9978,0.484,19.8,344.36,2461016.31,15.42
20003757,3757_Anagolay_1982_XB,3757,JPL 58,1,14.3,2461000.5,0.4459,1.835,1.017,3.87,92.37,2460767.64,19.01
20003838,3838_Epona_1986_WA,3838,JPL 325,0,61.9,2461000.5,0.7027,1.505,0.447,29.2,79.35,2460851.89,15.62
20003908,3908_Nyx_1980_PA,3908,JPL 258,0,22.1,2461000.5,0.459,1.928,1.043,2.19,312.97,2461128.23,17.45
20003988,3988_Huma_1986_LA,3988,JPL 155,0,68.9,2461000.5,0.3167,1.545,1.055,10.77,161.68,2460685.58,17.94
20004015,4015_Wilson-Harrington_1979_VA,4015,JPL 333,1,16.7,2461000.5,0.6309,2.626,0.969,2.8,274.4,2461370.13,16.19
20004034,4034_Vishnu_1986_PA,4034,JPL 193,1,7.44,2461000.5,0.444,1.059,0.589,11.17,261.95,2461108.97,18.49
20004055,4055_Magellan_1985_DO2,4055,JPL 962,0,93.0,2461000.5,0.326,1.82,1.227,23.25,67.87,2460831.38,14.92
20004179,4179_Toutatis_1989_AC,4179,JPL 719,1,2.54,2461000.5,0.6247,2.543,0.954,0.45,76.89,2460684.12,15.29
20004183,4183_Cuno_1959_LM,4183,JPL 794,1,11.0,2461000.5,0.6362,1.981,0.721,6.67,317.37,2461121.08,14.16
20004197,4197_Morpheus_1982_TA,4197,JPL 206,0,38.3,2461000.5,0.7725,2.295,0.522,12.6,110.47,2460610.71,14.97
20004257,4257_Ubasti_1987_QA,4257,JPL 476,0,65.7,2461000.5,0.4684,1.647,0.876,40.72,347.43,2461027.46,15.98
20004341,4341_Poseidon_1987_KF,4341,JPL 187,0,75.5,2461000.5,0.6801,1.834,0.587,11.84,202.7,2461396.97,16.08
20004401,4401_Aditi_1985_TB,4401,JPL 224,0,130.0,2461000.5,0.5634,2.584,1.128,26.62,228.35,2461555.29,16.12
20004450,4450_Pan_1987_SY,4450,JPL 281,1,11.2,2461000.5,0.5866,1.442,0.596,5.52,59.71,2460895.57,17.27
20004486,4486_Mithra_1987_SB,4486,JPL 402,1,17.9,2461000.5,0.66,2.206,0.75,3.03,276.29,2461278.84,15.61
20004487,4487_Pocahontas_1987_UA,4487,JPL 196,0,85.2,2461000.5,0.2965,1.73,1.217,16.41,269.08,2461210.49,17.48
20004503,4503_Cleobulus_1989_WM,4503,JPL 229,0,118.0,2461000.5,0.5248,2.704,1.285,2.51,16.5,2460926.09,15.82
20004544,4544_Xanthus_1989_FB,4544,JPL 469,0,67.5,2461000.5,0.2501,1.042,0.781,14.14,5.14,2460994.95,17.37
20004581,4581_Asclepius_1989_FC,4581,JPL 112,1,1.5,2461000.5,0.3569,1.023,0.658,4.92,233.38,2461133.34,20.74
20004596,4596_1981_QB,4596,JPL 132,0,115.0,2461000.5,0.52,2.239,1.075,37.07,47.83,2460837.87,16.45
20004660,4660_Nereus_1982_DB,4660,JPL 277,1,1.62,2461000.5,0.3588,1.485,0.952,1.45,49.82,2460909.03,18.75
20004688,4688_1980_WF,4688,JPL 71,0,42.1,2461000.5,0.5179,2.233,1.077,6.37,163.46,2460447.07,19.6
20004769,4769_Castalia_1989_PB,4769,JPL 165,1,7.89,2461000.5,0.4832,1.063,0.549,8.89,323.77,2461040.79,17.4
20004947,4947_Ninkasi_1988_TJ1,4947,JPL 224,0,58.2,2461000.5,0.1684,1.37,1.139,15.65,30.36,2460951.1,18.09
20004953,4953_1990_MU,4953,JPL 481,1,9.52,2461000.5,0.6575,1.621,0.555,24.38,115.98,2460757.55,14.88
20004954,4954_Eric_1990_SQ,4954,JPL 1013,0,75.6,2461000.5,0.4494,2.001,1.102,17.43,127.17,2460635.17,12.56
20004957,4957_Brucemurray_1990_XJ,4957,JPL 299,0,165.0,2461000.5,0.2188,1.565,1.223,35.01,351.78,2461016.84,15.05
20005011,5011_Ptah_6743_P-L,5011,JPL 185,1,9.38,2461000.5,0.5002,1.636,0.818,7.41,2.07,2460996.11,16.65
20005131,5131_1990_BG,5131,JPL 471,0,107.0,2461000.5,0.5689,1.486,0.641,36.45,215.72,2461265.72,14.83
20005143,5143_Heracles_1991_VL,5143,JPL 832,0,22.4,2461000.5,0.7712,1.835,0.42,8.98,204.12,2461393.56,14.05
20005189,5189_1990_UQ,5189,JPL 318,1,17.5,2461000.5,0.4782,1.552,0.81,3.58,101.62,2460801.2,17.84
20005324,5324_Lyapunov_1987_SL,5324,JPL 87,0,86.9,2461000.5,0.6063,2.979,1.173,19.66,178.69,2460068.18,15.35
20005332,5332_Davidaguilar_1990_DA,5332,JPL 608,0,119.0,2461000.5,0.4556,2.163,1.178,25.52,103.48,2460666.41,14.96
20005370,5370_Taranis_1986_RA,5370,JPL 71,0,82.5,2461000.5,0.637,3.318,1.205,19.17,156.07,2460043.37,15.23
20005381,5381_Sekhmet_1991_JY,5381,JPL 147,0,43.2,2461000.5,0.2964,0.9474,0.667,48.97,266.62,2461087.87,16.72
20005496,5496_1973_NA,5496,JPL 74,0,36.8,2461000.5,0.6342,2.437,0.891,68.02,299.22,2461235.07,16.15
20005587,5587_1990_SB,5587,JPL 559,0,121.0,2461000.5,0.5443,2.401,1.094,18.04,209.58,2461568.14,13.89
20005590,5590_1990_VA,5590,JPL 17,0,47.3,2461000.5,0.2801,0.9863,0.71,14.18,68.33,2460932.59,19.91
20005604,5604_1992_FE,5604,JPL 247,1,13.1,2461000.5,0.4065,0.93,0.552,4.7,349.65,2461009.92,17.38
20005620,5620_Jasonwheeler_1990_OA,5620,JPL 182,0,91.9,2461000.5,0.4227,2.159,1.246,7.87,56.42,2460818.94,17.1
20005626,5626_Melissabrucker_1991_FE,5626,JPL 796,0,82.9,2461000.5,0.4545,2.195,1.197,3.85,321.24,2461128.39,14.33
20005645,5645_1990_SP,5645,JPL 270,0,21.0,2461000.5,0.3873,1.355,0.83,13.51,54.55,2460913.25,17.23
20005646,5646_1990_TR,5646,JPL 477,0,82.3,2461000.5,0.4358,2.144,1.21,7.91,80.51,2460744.02,15.51
20005653,5653_Camarillo_1992_WD5,5653,JPL 477,0,110.0,2461000.5,0.3044,1.794,1.248,6.87,227.98,2461322.39,16.22
20005660,5660_1974_MA,5660,JPL 127,0,63.2,2461000.5,0.762,1.786,0.425,38.14,163.32,2460605.13,15.38
20005693,5693_1993_EA,5693,JPL 460,1,2.28,2461000.5,0.5851,1.271,0.527,5.06,118.41,2460828.43,16.78
20005731,5731_Zeus_1988_VP4,5731,JPL 288,0,25.2,2461000.5,0.6524,2.265,0.787,11.2,281.87,2461270.8,15.47
20005751,5751_Zao_1992_AC,5751,JPL 369,0,93.4,2461000.5,0.4253,2.101,1.208,16.07,23.79,2460926.96,14.94
20005786,5786_Talos_1991_RC,5786,JPL 269,0,73.4,2461000.5,0.8268,1.082,0.187,23.22,268.09,2461105.38,17.14
20005797,5797_Bivoj_1980_AA,5797,JPL 102,0,27.2,2461000.5,0.4443,1.894,1.052,4.19,220.58,2461369.17,18.89
20005828,5828_1991_AM,5828,JPL 287,0,155.0,2461000.5,0.6949,1.698,0.518,30.18,235.61,2461279.81,15.96
20005836,5836_1993_MF,5836,JPL 395,0,69.9,2461000.5,0.5383,2.439,1.126,7.93,162.94,2460370.82,14.99
20005863,5863_Tara_1983_RB,5863,JPL 283,0,89.8,2461000.5,0.5073,2.221,1.094,19.51,285.95,2461249.11,15.84
20005869,5869_Tanith_1988_VN4,5869,JPL 189,0,121.0,2461000.5,0.3214,1.812,1.23,17.92,34.0,2460916.36,17.22
20005879,5879_Almeria_1992_CH1,5879,JPL 339,0,65.1,2461000.5,0.2891,1.625,1.155,21.58,113.52,2460761.98,17.61
20006037,6037_1988_EG,6037,JPL 166,1,9.31,2461000.5,0.4996,1.272,0.636,3.51,164.67,2460760.93,18.86
20006047,6047_1991_TB1,6047,JPL 169,0,54.2,2461000.5,0.3521,1.455,0.942,23.47,107.15,2460809.79,17.84
20006050,6050_Miwablock_1992_AE,6050,JPL 586,0,104.0,2461000.5,0.4372,2.202,1.239,6.41,153.91,2460490.37,14.94
20006053,6053_1993_BW3,6053,JPL 385,0,86.5,2461000.5,0.5284,2.147,1.013,21.58,207.37,2461487.73,15.1
20006063,6063_Jason_1984_KB,6063,JPL 218,0,29.7,2461000.5,0.7625,2.22,0.527,4.96,219.06,2461473.46,16.02
20006178,6178_1986_DA,6178,JPL 240,0,69.3,2461000.5,0.5848,2.814,1.168,4.31,138.36,2460337.94,15.71
20006239,6239_Minos_1989_QF,6239,JPL 331,1,10.2,2461000.5,0.4125,1.151,0.676,3.94,183.78,2461221.28,18.6
20006455,6455_1992_HE,6455,JPL 580,0,112.0,2461000.5,0.5729,2.24,0.957,37.34,347.71,2461042.32,14.08
20006456,6456_Golombek_1992_OM,6456,JPL 341,0,110.0,2461000.5,0.4088,2.193,1.297,8.22,96.46,2460682.61,16.06
20006489,6489_Golevka_1991_JX,6489,JPL 107,1,8.74,2461000.5,0.6188,2.477,0.944,2.26,252.42,2461425.96,19.22
20006491,6491_1991_OA,6491,JPL 34,1,14.5,2461000.5,0.5921,2.504,1.021,6.15,240.15,2461482.34,18.72
20006569,6569_Ondaatje_1993_MO,6569,JPL 488,0,98.7,2461000.5,0.2207,1.626,1.267,22.64,219.08,2461297.04,16.63
20006611,6611_1993_VW,6611,JPL 368,0,23.3,2461000.5,0.4845,1.696,0.874,8.7,133.51,2460701.31,16.82
20007025,7025_1993_QA,7025,JPL 151,0,24.2,2461000.5,0.315,1.476,1.011,12.61,234.62,2461228.56,18.08
20007088,7088_Ishtar_1992_AA,7088,JPL 272,0,87.4,2461000.5,0.3903,1.981,1.208,8.3,53.18,2460850.06,16.84
20007092,7092_Cadmus_1992_LC,7092,JPL 238,0,39.1,2461000.5,0.6937,2.545,0.78,17.79,127.61,2460474.72,15.12
20007236,7236_1987_PA,7236,JPL 66,0,72.5,2461000.5,0.5637,2.722,1.187,16.69,193.78,2461757.71,18.32
20007335,7335_1989_JA,7335,JPL 233,1,8.35,2461000.5,0.4845,1.773,0.914,15.16,156.19,2460626.5,17.7
20007336,7336_Saunders_1989_RS1,7336,JPL 239,0,73.5,2461000.5,0.482,2.306,1.194,7.2,118.35,2460580.14,18.8
20007341,7341_1991_VK,7341,JPL 448,1,18.7,2461000.5,0.5061,1.842,0.91,5.41,195.6,2461417.37,16.96
20007350,7350_1993_VA,7350,JPL 371,0,31.6,2461000.5,0.3912,1.356,0.826,7.26,73.44,2460882.85,17.16
20007358,7358_Oze_1995_YA3,7358,JPL 623,0,47.9,2461000.5,0.5024,2.198,1.094,4.66,112.71,2460627.78,14.72
20007474,7474_1992_TC,7474,JPL 106,0,65.1,2461000.5,0.2921,1.566,1.108,7.09,330.81,2461058.53,18.11
20007480,7480_Norwan_1994_PC,7480,JPL 252,0,62.7,2461000.5,0.3169,1.568,1.071,9.45,299.02,2461121.96,17.24
20007482,7482_1994_PC1,7482,JPL 344,1,0.282,2461000.5,0.3294,1.349,0.904,33.47,138.26,2460780.77,16.58
20007753,7753_1988_XB,7753,JPL 242,1,2.56,2461000.5,0.4816,1.467,0.761,3.12,317.69,2461076.82,18.01
20007822,7822_1991_CS,7822,JPL 316,1,8.41,2461000.5,0.1646,1.123,0.938,37.12,153.76,2460814.92,17.34
20007839,7839_1994_ND,7839,JPL 47,0,52.4,2461000.5,0.5186,2.165,1.042,27.12,291.79,2461220.98,17.83
20007888,7888_1993_UC,7888,JPL 202,0,33.8,2461000.5,0.6632,2.439,0.821,26.08,127.65,2460507.32,15.19
20007889,7889_1994_LX,7889,JPL 622,0,60.3,2461000.5,0.3463,1.262,0.825,36.91,255.3,2461151.02,15.24
20007977,7977_1977_QQ5,7977,JPL 369,0,138.0,2461000.5,0.4662,2.226,1.188,25.17,172.08,2460420.81,15.15
20008013,8013_Gordonmoore_1990_KA,8013,JPL 192,0,94.8,2461000.5,0.4321,2.2,1.249,7.6,311.25,2461161.84,17.09
20008014,8014_1990_MF,8014,JPL 184,1,6.56,2461000.5,0.456,1.748,0.951,1.87,102.14,2460761.09,18.88
20008034,8034_Akka_1992_LR,8034,JPL 135,0,28.4,2461000.5,0.4091,1.831,1.082,2.02,164.13,2460588.02,18.02
20008035,8035_1992_TB,8035,JPL 273,0,107.0,2461000.5,0.4624,1.342,0.721,28.31,267.31,2461146.71,17.12
20008037,8037_1993_HO1,8037,JPL 378,0,78.0,2461000.5,0.4177,1.986,1.157,5.91,272.14,2461250.09,16.63
20008176,8176_1991_WA,8176,JPL 175,0,75.0,2461000.5,0.6432,1.575,0.562,39.59,100.3,2460799.33,17.01
20008201,8201_1994_AH2,8201,JPL 189,0,39.3,2461000.5,0.7061,2.54,0.746,9.54,297.03,2461259.08,15.94
20008507,8507_1991_CB1,8507,JPL 170,0,85.8,2461000.5,0.5948,1.687,0.684,14.6,189.19,2461380.36,17.21
20008566,8566_1996_EN,8566,JPL 294,1,8.78,2461000.5,0.4304,1.506,0.858,37.98,303.34,2461106.77,16.47
20008567,8567_1996_HW1,8567,JPL 619,0,47.3,2461000.5,0.4491,2.046,1.127,8.45,314.32,2461136.1,15.36
20008709,8709_Kadlu_1994_JF1,8709,JPL 78,0,101.0,2461000.5,0.4945,2.521,1.275,3.54,280.47,2461323.53,17.07
20009058,9058_1992_JB,9058,JPL 352,0,32.6,2461000.5,0.3597,1.557,0.997,16.09,127.78,2460748.55,17.81
20009162,9162_Kwiila_1987_OA,9162,JPL 158,0,31.4,2461000.5,0.5955,1.497,0.605,9.01,292.6,2461125.71,18.01
20009172,9172_Abhramu_1989_OB,9172,JPL 109,0,97.9,2461000.5,0.5528,2.71,1.212,7.84,46.77,2460788.79,16.64
20009202,9202_1993_PB,9202,JPL 205,0,145.0,2461000.5,0.6078,1.424,0.558,40.8,97.11,2460833.11,16.1
20009400,9400_1994_TW1,9400,JPL 330,0,111.0,2461000.5,0.5807,2.588,1.085,35.98,145.88,2460384.22,14.84
20009856,9856_1991_EE,9856,JPL 208,1,8.63,2461000.5,0.6258,2.243,0.839,9.83,72.0,2460755.12,17.1
20009950,9950_ESA_1990_VB,9950,JPL 191,0,109.0,2461000.5,0.5329,2.439,1.139,14.59,74.58,2460712.36,16.21
20010115,10115_1992_SK,10115,JPL 374,1,18.1,2461000.5,0.3249,1.249,0.843,15.32,7.08,2460990.48,17.1
20010145,10145_1994_CK1,10145,JPL 206,0,24.5,2461000.5,0.6326,1.9,0.698,4.55,138.92,2460631.38,17.0
20010150,10150_1994_PN,10150,JPL 245,0,86.9,2461000.5,0.5443,2.374,1.082,45.96,175.54,2460349.11,15.45
20010165,10165_1995_BL2,10165,JPL 244,0,147.0,2461000.5,0.5039,1.235,0.613,23.9,19.09,2460973.92,17.36
20010302,10302_1989_ML,10302,JPL 238,0,31.3,2461000.5,0.1369,1.273,1.099,4.38,121.51,2460823.47,19.44
20010563,10563_Izhdubar_1993_WD,10563,JPL 88,0,56.4,2461000.5,0.2662,1.007,0.739,63.47,137.07,2460860.01,16.94
20010636,10636_1998_QK56,10636,JPL 158,0,43.0,2461000.5,0.5128,1.885,0.918,13.57,151.61,2460602.52,17.7
20010860,10860_1995_LE,10860,JPL 166,0,43.0,2461000.5,0.5752,2.577,1.095,4.14,111.58,2460532.07,17.02
20011054,11054_1991_FA,11054,JPL 280,0,47.9,2461000.5,0.4465,1.979,1.096,3.08,215.61,2461408.47,17.07
20011066,11066_Sigurd_1992_CC1,11066,JPL 441,0,46.3,2461000.5,0.3754,1.392,0.869,36.88,315.33,2461074.91,15.17
20011284,11284_Belenus_1990_BA,11284,JPL 170,0,65.5,2461000.5,0.3374,1.74,1.153,1.99,216.1,2461335.65,18.25
20011311,11311_Peleus_1993_XN2,11311,JPL 245,0,37.1,2461000.5,0.5358,2.116,0.982,25.49,154.58,2460517.59,15.74
20011398,11398_1998_YP11,11398,JPL 546,0,78.8,2461000.5,0.3891,1.721,1.051,15.02,281.68,2461179.9,16.38
20011405,11405_1999_CV3,11405,JPL 729,0,45.6,2461000.5,0.3938,1.46,0.885,22.86,17.42,2460969.33,15.22
20011500,11500_Tomaiyowit_1989_UR,11500,JPL 228,1,13.4,2461000.5,0.3558,1.08,0.696,10.31,314.93,2461051.81,18.37
20011885,11885_Summanus_1990_SS,11885,JPL 82,0,25.8,2461000.5,0.4745,1.703,0.895,19.43,236.65,2461278.7,18.52
20012538,12538_1998_OH,12538,JPL 653,1,11.8,2461000.5,0.4059,1.542,0.916,24.54,163.01,2460683.95,15.96
20012711,12711_Tukmit_1991_BB,12711,JPL 465,0,43.7,2461000.5,0.2721,1.186,0.864,38.49,236.4,2461162.55,16.04
20012923,12923_Zephyr_1999_GK4,12923,JPL 516,1,7.77,2461000.5,0.4927,1.962,0.995,5.31,194.88,2461461.0,15.8
20013553,13553_Masaakikoyama_1992_JE,13553,JPL 366,0,73.7,2461000.5,0.4636,2.19,1.175,5.87,94.84,2460688.66,16.54
20013651,13651_1997_BR,13651,JPL 192,1,6.07,2461000.5,0.3057,1.336,0.927,17.25,158.08,2460752.96,17.89
20014402,14402_1991_DB,14402,JPL 108,0,39.8,2461000.5,0.4017,1.715,1.026,11.41,141.06,2460679.11,18.77
20014827,14827_Hypnos_1986_JK,14827,JPL 105,1,6.14,2461000.5,0.6643,2.851,0.957,1.97,103.4,2460495.56,18.81
20015745,15745_Yuliya_1991_PM5,15745,JPL 274,0,114.0,2461000.5,0.2554,1.72,1.28,14.43,99.22,2460773.51,17.4
20015817,15817_Lucianotesi_1994_QC,15817,JPL 200,0,96.3,2461000.5,0.1181,1.325,1.168,13.87,238.75,2461188.02,18.47
20016064,16064_Davidharvey_1999_RH27,16064,JPL 106,0,79.2,2461000.5,0.5893,2.851,1.171,4.54,125.86,2460385.94,16.86
20016636,16636_1993_QP,16636,JPL 154,0,93.4,2461000.5,0.4679,2.311,1.23,7.21,66.88,2460762.1,18.78
20016657,16657_1993_UB,16657,JPL 207,0,98.6,2461000.5,0.4607,2.277,1.228,24.94,111.11,2460613.24,16.55
20016816,16816_1997_UF9,16816,JPL 337,0,148.0,2461000.5,0.6037,1.443,0.572,25.92,323.06,2461065.43,16.24
20016834,16834_1997_WU22,16834,JPL 777,0,57.3,2461000.5,0.4422,1.468,0.819,16.0,109.14,2460803.56,15.75
20016912,16912_Rhiannon_1998_EP8,16912,JPL 84,0,125.0,2461000.5,0.2727,1.751,1.274,24.52,94.78,2460777.65,17.91
20016960,16960_1998_QS52,16960,JPL 522,1,7.14,2461000.5,0.8591,2.2,0.31,17.52,69.45,2460770.48,14.32
20017181,17181_1999_UM3,17181,JPL 104,0,27.9,2461000.5,0.674,2.37,0.773,10.65,23.99,2460911.69,16.77
20017182,17182_1999_VU,17182,JPL 295,0,55.9,2461000.5,0.5534,1.387,0.619,9.27,267.06,2461154.54,17.13
20017188,17188_1999_WC2,17188,JPL 194,0,24.6,2461000.5,0.6367,2.216,0.805,29.45,292.04,2461228.02,16.4
20017274,17274_2000_LC16,17274,JPL 232,0,80.7,2461000.5,0.5541,2.731,1.218,5.57,216.83,2461656.01,16.87
20017511,17511_1992_QN,17511,JPL 361,0,51.5,2461000.5,0.3587,1.19,0.763,9.58,314.74,2461060.08,17.32
20018106,18106_Blume_2000_NX3,18106,JPL 87,0,75.4,2461000.5,0.512,2.443,1.192,4.22,215.94,2461558.55,17.78
20018109,18109_2000_NG11,18109,JPL 290,0,74.3,2461000.5,0.3676,1.881,1.19,0.81,270.31,2461235.28,17.19
20018172,18172_2000_QL7,18172,JPL 359,0,142.0,2461000.5,0.511,2.426,1.186,17.83,206.68,2461588.2,15.69
20018736,18736_1998_NU,18736,JPL 357,0,80.6,2461000.5,0.4911,2.35,1.196,2.81,309.19,2461186.19,15.98
20018882,18882_1999_YN4,18882,JPL 344,0,168.0,2461000.5,0.2321,1.685,1.294,36.81,230.13,2461288.7,16.14
20019356,19356_1997_GH3,19356,JPL 103,0,47.0,2461000.5,0.5578,2.512,1.111,3.01,93.24,2460623.86,17.0
