mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__p,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.02929830551147461,0.0036302266565367424,0.1872133731842041,0.023311067348888246,minkowski,48,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 48, 'knn__p': 1, 'knn__weights': 'uniform'}",0.8076516925697255,0.8003708040593287,0.7971737279114328,0.7927079773296878,0.7957991569833676,0.7987406717707085,0.005090478317013138,1
0.022774934768676758,0.004580555102278867,0.1178518295288086,0.02189704144578091,euclidean,37,1,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 37, 'knn__p': 1, 'knn__weights': 'distance'}",0.7986395571641475,0.7846437442339081,0.7957621886310411,0.784703947368421,0.782592489747095,0.7892683854289226,0.006584486674970891,20
0.01773943901062012,0.005835270832118065,0.08379707336425782,0.025012017685699658,minkowski,25,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 25, 'knn__p': 2, 'knn__weights': 'uniform'}",0.7769260520899866,0.7740263288623944,0.7882946561635086,0.763715752449305,0.7649389809751652,0.7735803541080719,0.008943008095205738,30
0.024283075332641603,0.009756098887315628,0.07193164825439453,0.008656412214053581,manhattan,12,1,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 12, 'knn__p': 1, 'knn__weights': 'uniform'}",0.7385221063089915,0.7258267688595559,0.7109502519338585,0.7228436859193439,0.7080204061289587,0.7212326438301416,0.010981054251645772,40
0.017788505554199217,0.00405621649733644,0.08563089370727539,0.011336570618020817,euclidean,28,2,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 28, 'knn__p': 2, 'knn__weights': 'uniform'}",0.7838201689021361,0.7763991200056772,0.7880743027464339,0.7680643369788107,0.7718461637047163,0.777640818467555,0.007400956729855291,26
0.020387935638427734,0.010059598626023672,0.13714208602905273,0.017486784103072212,manhattan,39,1,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 39, 'knn__p': 1, 'knn__weights': 'uniform'}",0.7990703285785252,0.7958047690014903,0.7956713505074161,0.7880539416723628,0.7928624829118249,0.7942925745343239,0.0036872860217908366,11
0.0185671329498291,0.0027898202790737187,0.028791141510009766,0.0035131453296326468,euclidean,6,1,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 6, 'knn__p': 1, 'knn__weights': 'uniform'}",0.6969842452629337,0.6840806188347172,0.6465318288269108,0.6602799612668033,0.6490815105946685,0.6673916329572067,0.019875677780716427,48
0.017259550094604493,0.0028223383534919147,0.06564340591430665,0.004634269695274069,minkowski,23,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 23, 'knn__p': 2, 'knn__weights': 'uniform'}",0.7751408700589028,0.7710073805975446,0.7848158398978071,0.757704986899066,0.7665587975620871,0.7710455750030816,0.008994393347455717,33
0.018555688858032226,0.0026301931579683574,0.06410107612609864,0.011132554457546948,manhattan,10,2,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 10, 'knn__p': 2, 'knn__weights': 'distance'}",0.7252927400468383,0.7207259953161592,0.6997473564686679,0.7123640066074276,0.684938197767145,0.7086136592412476,0.014684034377137717,41
0.014852285385131836,0.00362481862544113,0.09365367889404297,0.005801959715593802,euclidean,31,1,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 31, 'knn__p': 1, 'knn__weights': 'uniform'}",0.7896813568944716,0.7759459938968136,0.7951979987225889,0.7778231089086354,0.7797384085213032,0.7836773733887625,0.007461028236082669,24
